"","Sample","Gender","Age","tissue"
"1","SRR2245587","Female",40,"Oral"
"2","SRR2246328","Female",25,"Oral"
"3","SRR2232090","Male",50,"Oral"
"4","SRR2237419","Female",50,"Oral"
"5","SRR2227589","Male",45,"Oral"
"6","SRR2247066","Male",25,"Oral"
"7","SRR2248814","Male",55,"Oral"
"8","SRR2228613","Male",60,"Oral"
"9","SRR2246494","Male",40,"Oral"
"10","SRR2243958","Female",35,"Oral"
"11","SRR2236548","Male",30,"Oral"
"12","SRR2246560","Male",50,"Oral"
"13","SRR2244359","Male",45,"Oral"
"14","SRR2237697","Female",15,"Oral"
"15","SRR2245509","Female",45,"Oral"
"16","SRR2246404","Female",25,"Oral"
"17","SRR2243653","Female",55,"Oral"
"18","SRR2226800","Female",65,"Oral"
"19","SRR2236887","Female",65,"Oral"
"20","SRR2243940","Male",50,"Oral"
"21","SRR2228235","Male",20,"Oral"
"22","SRR2248811","Male",15,"Oral"
"23","SRR2236764","Female",40,"Oral"
"24","SRR2247068","Male",40,"Oral"
"25","SRR2243536","Female",35,"Oral"
"26","SRR2244867","Female",55,"Oral"
"27","SRR2243791","Male",55,"Oral"
"28","SRR2244185","Female",45,"Oral"
"29","SRR2228371","Male",20,"Oral"
"30","SRR2246545","Male",35,"Oral"
"31","SRR2245480","Female",10,"Oral"
"32","SRR2249253","Male",15,"Oral"
"34","SRR2224289","Male",50,"Oral"
"35","SRR2226400","Male",50,"Oral"
"36","SRR2244524","Female",45,"Oral"
"37","SRR2245674","Female",25,"Oral"
"38","SRR2251528","Female",55,"Oral"
"39","SRR2248209","Female",40,"Oral"
"40","SRR2222371","Female",60,"Oral"
"41","SRR2228548","Female",25,"Oral"
"42","SRR2228807","Female",35,"Oral"
"43","SRR2248228","Female",30,"Oral"
"44","SRR2193427","Male",50,"Oral"
"46","SRR2243454","Male",15,"Oral"
"47","SRR2227625","Male",35,"Oral"
"48","SRR2223334","Female",35,"Oral"
"49","SRR2227994","Male",50,"Oral"
"50","SRR2250623","Female",40,"Oral"
"51","SRR2246294","Female",70,"Oral"
"52","SRR2223236","Female",15,"Oral"
"53","SRR2228437","Female",45,"Oral"
"54","SRR2249409","Male",60,"Oral"
"55","SRR2249326","Female",55,"Oral"
"56","SRR2236890","Female",60,"Oral"
"57","SRR2245157","Female",40,"Oral"
"58","SRR2226396","Male",75,"Oral"
"59","SRR2226383","Female",50,"Oral"
"60","SRR2248214","Male",65,"Oral"
"61","SRR2227358","Female",30,"Oral"
"62","SRR2237600","Female",35,"Oral"
"63","SRR2228292","Female",60,"Oral"
"64","SRR2248169","Male",40,"Oral"
"65","SRR2244438","Female",40,"Oral"
"66","SRR2226750","Female",30,"Oral"
"67","SRR2227390","Male",25,"Oral"
"68","SRR2244676","Male",70,"Oral"
"69","SRR2226461","Male",45,"Oral"
"70","SRR2195741","Female",25,"Oral"
"71","SRR2250383","Male",25,"Oral"
"72","SRR2223337","Male",60,"Oral"
"73","SRR2237368","Female",25,"Oral"
"74","SRR2223944","Female",60,"Oral"
"75","SRR2227808","Female",35,"Oral"
"76","SRR2226440","Male",25,"Oral"
"77","SRR2227747","Male",30,"Oral"
"78","SRR2250658","Female",60,"Oral"
"79","SRR2249310","Male",60,"Oral"
"80","SRR2250494","Male",40,"Oral"
"81","SRR2236868","Male",65,"Oral"
"82","SRR2237516","Male",55,"Oral"
"83","SRR2246390","Female",40,"Oral"
"84","SRR2248257","Female",65,"Oral"
"85","SRR2247918","Male",75,"Oral"
"86","SRR2244295","Male",65,"Oral"
"87","SRR2193893","Male",50,"Oral"
"88","SRR2228687","Male",30,"Oral"
"89","SRR2247090","Female",55,"Oral"
"90","SRR2251543","Female",25,"Oral"
"91","SRR2237318","Female",25,"Oral"
"92","SRR2244777","Female",40,"Oral"
"93","SRR2228356","Female",60,"Oral"
"94","SRR2243562","Female",45,"Oral"
"95","SRR2236895","Female",55,"Oral"
"96","SRR2245666","Female",40,"Oral"
"97","SRR2246422","Female",35,"Oral"
"98","SRR2246268","Female",20,"Oral"
"99","SRR2223570","Male",15,"Oral"
"100","SRR2224757","Female",55,"Oral"
"101","SRR2247392","Male",55,"Oral"
"102","SRR2248687","Male",65,"Oral"
"103","SRR2244333","Male",70,"Oral"
"104","SRR2189940","Female",50,"Oral"
"105","SRR2243548","Male",55,"Oral"
"106","SRR2244759","Female",60,"Oral"
"107","SRR2237706","Female",60,"Oral"
"108","SRR2224061","Male",60,"Oral"
"109","SRR2237541","Male",30,"Oral"
"110","SRR2244873","Female",50,"Oral"
"111","SRR2249243","Male",65,"Oral"
"112","SRR2243542","Male",40,"Oral"
"113","SRR2250041","Male",75,"Oral"
"114","SRR2243610","Male",60,"Oral"
"115","SRR2248231","Female",55,"Oral"
"116","SRR2227632","Male",50,"Oral"
"117","SRR2226756","Male",60,"Oral"
"118","SRR2227349","Female",50,"Oral"
"119","SRR2244432","Female",80,"Oral"
"120","SRR2247139","Female",50,"Oral"
"121","SRR2247525","Female",55,"Oral"
"122","SRR2249167","Male",55,"Oral"
"123","SRR2237774","Male",50,"Oral"
"124","SRR2243497","Male",60,"Oral"
"125","SRR2246309","Female",55,"Oral"
"126","SRR2244517","Male",50,"Oral"
"127","SRR2247025","Male",10,"Oral"
"128","SRR2228793","Male",15,"Oral"
"129","SRR2246446","Female",15,"Oral"
"130","SRR2237587","Male",15,"Oral"
"131","SRR2237503","Male",15,"Oral"
"132","SRR2228301","Female",35,"Oral"
"133","SRR2245600","Female",20,"Oral"
"134","SRR2224265","Female",15,"Oral"
"135","SRR2245986","Female",10,"Oral"
"136","SRR2228576","Male",10,"Oral"
"137","SRR2245649","Male",10,"Oral"
"138","SRR2222391","Female",55,"Oral"
"139","SRR2226398","Male",15,"Oral"
"140","SRR2246373","Female",45,"Oral"
"141","ERR589441","Female",39,"Gut"
"142","ERR589442","Female",59,"Gut"
"143","ERR589443","Female",59,"Gut"
"144","ERR589485","Female",62,"Gut"
"145","ERR589501","Male",58,"Gut"
"146","ERR589503","Female",45,"Gut"
"147","ERR589504","Female",38,"Gut"
"148","ERR589505","Female",32,"Gut"
"149","ERR589506","Female",32,"Gut"
"150","ERR589507","Female",51,"Gut"
"151","ERR589508","Female",48,"Gut"
"152","ERR589509","Female",35,"Gut"
"153","ERR589510","Female",53,"Gut"
"154","ERR589511","Female",61,"Gut"
"155","ERR589512","Female",37,"Gut"
"156","ERR589513","Female",54,"Gut"
"157","ERR589527","Female",37,"Gut"
"158","ERR589528","Female",51,"Gut"
"159","ERR589529","Male",33,"Gut"
"160","ERR589530","Female",64,"Gut"
"161","ERR589531","Female",50,"Gut"
"162","ERR589532","Female",61,"Gut"
"163","ERR589533","Female",42,"Gut"
"164","ERR589534","Female",36,"Gut"
"165","ERR589535","Female",46,"Gut"
"166","ERR589536","Male",55,"Gut"
"167","ERR589537","Female",59,"Gut"
"168","ERR589538","Female",27,"Gut"
"169","ERR589539","Female",40,"Gut"
"170","ERR589540","Female",44,"Gut"
"171","ERR589542","Male",48,"Gut"
"172","ERR589543","Female",56,"Gut"
"173","ERR589544","Male",58,"Gut"
"174","ERR589545","Male",42,"Gut"
"175","ERR589546","Female",57,"Gut"
"176","ERR589547","Female",41,"Gut"
"177","ERR589548","Male",44,"Gut"
"178","ERR589549","Male",57,"Gut"
"179","ERR589550","Female",43,"Gut"
"180","ERR589551","Male",46,"Gut"
"181","ERR589552","Female",38,"Gut"
"182","ERR589553","Female",36,"Gut"
"183","ERR589554","Female",39,"Gut"
"184","ERR589555","Female",27,"Gut"
"185","ERR589558","Male",56,"Gut"
"186","ERR589560","Male",53,"Gut"
"187","ERR589561","Female",59,"Gut"
"188","ERR589563","Female",62,"Gut"
"189","ERR589565","Female",61,"Gut"
"190","ERR589566","Female",36,"Gut"
"191","ERR589567","Male",53,"Gut"
"192","ERR589568","Female",53,"Gut"
"193","ERR589569","Male",57,"Gut"
"194","ERR589570","Female",55,"Gut"
"195","ERR589571","Female",35,"Gut"
"196","ERR589572","Female",65,"Gut"
"197","ERR589574","Male",50,"Gut"
"198","ERR589575","Female",26,"Gut"
"199","ERR589576","Female",59,"Gut"
"200","ERR589577","Female",49,"Gut"
"201","ERR589578","Female",36,"Gut"
"202","ERR589579","Male",26,"Gut"
"203","ERR589580","Female",55,"Gut"
"204","ERR589581","Male",60,"Gut"
"205","ERR589582","Female",47,"Gut"
"206","ERR589583","Female",36,"Gut"
"207","ERR589585","Female",36,"Gut"
"208","ERR589586","Female",56,"Gut"
"209","ERR589587","Female",44,"Gut"
"210","ERR589589","Female",49,"Gut"
"211","ERR589590","Male",47,"Gut"
"212","ERR589591","Female",41,"Gut"
"213","ERR589592","Female",46,"Gut"
"214","ERR589593","Male",34,"Gut"
"215","ERR589594","Female",48,"Gut"
"216","ERR589595","Female",52,"Gut"
"217","ERR589732","Male",49,"Gut"
"218","ERR589733","Male",36,"Gut"
"219","ERR589734","Female",36,"Gut"
"220","ERR589735","Female",53,"Gut"
"221","ERR589736","Female",34,"Gut"
"222","ERR589737","Female",34,"Gut"
"223","ERR589738","Female",51,"Gut"
"224","ERR589740","Female",39,"Gut"
"225","ERR589741","Male",41,"Gut"
"226","ERR589742","Male",57,"Gut"
"227","ERR589744","Female",54,"Gut"
"228","ERR589745","Female",40,"Gut"
"229","ERR589747","Male",65,"Gut"
"230","ERR589748","Male",61,"Gut"
"231","ERR589749","Female",52,"Gut"
"232","ERR589754","Female",43,"Gut"
"233","ERR589756","Female",48,"Gut"
"234","ERR589759","Female",46,"Gut"
"235","ERR589761","Male",54,"Gut"
"236","ERR589763","Female",50,"Gut"
"237","ERR589764","Male",58,"Gut"
"238","ERR589766","Female",28,"Gut"
"239","ERR589767","Female",24,"Gut"
"240","ERR589768","Female",45,"Gut"
"241","ERR589769","Female",67,"Gut"
"242","ERR589770","Female",55,"Gut"
"243","ERR589771","Male",59,"Gut"
"244","ERR589772","Female",63,"Gut"
"245","ERR589773","Female",52,"Gut"
"246","ERR589774","Female",56,"Gut"
"247","ERR589775","Female",63,"Gut"
"248","ERR589776","Female",48,"Gut"
"249","ERR589777","Female",53,"Gut"
"250","ERR589778","Female",40,"Gut"
"251","ERR589779","Female",54,"Gut"
"252","ERR589780","Female",54,"Gut"
"253","ERR589781","Female",56,"Gut"
"254","ERR589782","Male",52,"Gut"
"255","ERR589784","Female",39,"Gut"
"256","ERR589785","Female",38,"Gut"
"257","ERR589786","Female",57,"Gut"
"258","ERR589788","Female",32,"Gut"
"259","ERR589789","Male",30,"Gut"
"260","ERR589790","Male",44,"Gut"
"261","ERR589791","Female",43,"Gut"
"262","ERR589792","Female",48,"Gut"
"263","ERR589793","Female",46,"Gut"
"264","ERR589794","Female",40,"Gut"
"265","ERR589795","Female",42,"Gut"
"266","ERR589796","Male",45,"Gut"
"267","ERR589797","Female",46,"Gut"
"268","ERR589798","Female",53,"Gut"
"269","ERR589799","Female",44,"Gut"
"270","ERR589800","Female",41,"Gut"
"271","ERR589801","Male",54,"Gut"
"272","ERR589804","Female",46,"Gut"
"273","ERR589805","Female",48,"Gut"
"274","ERR589806","Female",41,"Gut"
"275","ERR589807","Female",42,"Gut"
"276","ERR589808","Female",36,"Gut"
"277","ERR589809","Male",54,"Gut"
"278","ERR589810","Female",43,"Gut"
"279","ERR589811","Female",38,"Gut"
"280","ERR589813","Female",34,"Gut"
"281","ERR589814","Female",47,"Gut"
"282","ERR589817","Female",43,"Gut"
"283","ERR589818","Female",46,"Gut"
"284","ERR589819","Female",54,"Gut"
"285","ERR589820","Male",52,"Gut"
"286","ERR589821","Female",45,"Gut"
"287","ERR589825","Male",45,"Gut"
"288","ERR589826","Female",41,"Gut"
"289","ERR589827","Female",40,"Gut"
"290","ERR589828","Female",39,"Gut"
"291","ERR589829","Female",44,"Gut"
"292","ERR589830","Female",37,"Gut"
"293","ERR589831","Female",42,"Gut"
"294","ERR589833","Female",70,"Gut"
"295","ERR589835","Female",53,"Gut"
"296","ERR589836","Male",50,"Gut"
"297","ERR589837","Female",35,"Gut"
"298","ERR589839","Female",25,"Gut"
"299","ERR589842","Female",45,"Gut"
"300","ERR589843","Female",53,"Gut"
"301","ERR589845","Female",48,"Gut"
"302","ERR589846","Male",36,"Gut"
"303","ERR589847","Male",44,"Gut"
"304","ERR589848","Male",42,"Gut"
"305","ERR589849","Male",35,"Gut"
"306","ERR589850","Male",37,"Gut"
"307","ERR589851","Female",24,"Gut"
"308","ERR589852","Male",22,"Gut"
"309","ERR589853","Female",19,"Gut"
"310","ERR589854","Female",45,"Gut"
"311","ERR589855","Female",52,"Gut"
"312","ERR589856","Male",24,"Gut"
"313","ERR589857","Male",28,"Gut"
"314","ERR589858","Female",68,"Gut"
"315","ERR589859","Male",27,"Gut"
"316","ERR589860","Female",44,"Gut"
"317","ERR589861","Female",47,"Gut"
"318","ERR589862","Female",38,"Gut"
"319","ERR589863","Female",54,"Gut"
"320","ERR589864","Female",57,"Gut"
"321","ERR589865","Female",41,"Gut"
"322","ERR589866","Male",47,"Gut"
"323","ERR589867","Male",48,"Gut"
"324","ERR589868","Female",23,"Gut"
"325","ERR589869","Female",57,"Gut"
"326","ERR589870","Female",48,"Gut"
"327","ERR589871","Male",38,"Gut"
"328","ERR589872","Female",39,"Gut"
"329","ERR589873","Female",42,"Gut"
"330","ERR589874","Female",48,"Gut"
"331","ERR589875","Female",46,"Gut"
"332","DP1806001178","Female",48,"Skin"
"333","DP1806001184","Female",37,"Skin"
"334","DP1806001187","Female",33,"Skin"
"335","DP1806001193","Female",43,"Skin"
"336","DP1806001196","Female",53,"Skin"
"337","DP1806001199","Male",27,"Skin"
"338","DP1806001202","Female",34,"Skin"
"339","DP1806001205","Female",58,"Skin"
"340","DP1806001208","Female",55,"Skin"
"341","DP1806001211","Female",58,"Skin"
"342","DP1806001214","Female",51,"Skin"
"343","DP1806001217","Female",31,"Skin"
"344","DP1806001220","Female",29,"Skin"
"345","DP1806001223","Female",29,"Skin"
"346","DP1806001226","Female",30,"Skin"
"347","DP1806001229","Female",55,"Skin"
"348","DP1806001232","Male",23,"Skin"
"349","DP1806001235","Female",43,"Skin"
"350","DP1806001238","Female",28,"Skin"
"351","DP1806001241","Female",40,"Skin"
"352","DP1806001244","Female",55,"Skin"
"353","DP1806001247","Female",48,"Skin"
"354","DP1806001250","Male",40,"Skin"
"355","DP1806001262","Female",62,"Skin"
"356","DP1806001268","Male",34,"Skin"
"357","DP1806001271","Female",61,"Skin"
"358","DP1806001274","Female",37,"Skin"
"359","DP1806001277","Female",61,"Skin"
"360","DP1806001280","Female",26,"Skin"
"361","DP1806001283","Female",27,"Skin"
"362","DP1806001286","Female",32,"Skin"
"363","DP1806001289","Female",44,"Skin"
"364","DP1806001295","Female",43,"Skin"
"365","DP1806001298","Female",33,"Skin"
"366","DP1806001304","Female",58,"Skin"
"367","DP1806001307","Male",43,"Skin"
"368","DP1806001310","Female",54,"Skin"
"369","DP1806001313","Female",62,"Skin"
