"","SRR2189940","SRR2193427","SRR2193893","SRR2195741","SRR2222371","SRR2222391","SRR2223236","SRR2223334","SRR2223337","SRR2223570","SRR2223944","SRR2224061","SRR2224265","SRR2224289","SRR2224757","SRR2226383","SRR2226396","SRR2226398","SRR2226400","SRR2226440","SRR2226461","SRR2226750","SRR2226756","SRR2226800","SRR2227349","SRR2227358","SRR2227390","SRR2227589","SRR2227625","SRR2227632","SRR2227747","SRR2227808","SRR2227994","SRR2228235","SRR2228292","SRR2228301","SRR2228356","SRR2228371","SRR2228437","SRR2228548","SRR2228576","SRR2228613","SRR2228687","SRR2228793","SRR2228807","SRR2232090","SRR2236548","SRR2236764","SRR2236868","SRR2236887","SRR2236890","SRR2236895","SRR2237318","SRR2237368","SRR2237419","SRR2237503","SRR2237516","SRR2237541","SRR2237587","SRR2237600","SRR2237697","SRR2237706","SRR2237774","SRR2243454","SRR2243497","SRR2243536","SRR2243542","SRR2243548","SRR2243562","SRR2243610","SRR2243653","SRR2243791","SRR2243940","SRR2243958","SRR2244185","SRR2244295","SRR2244333","SRR2244359","SRR2244432","SRR2244438","SRR2244517","SRR2244524","SRR2244676","SRR2244759","SRR2244777","SRR2244867","SRR2244873","SRR2245157","SRR2245480","SRR2245509","SRR2245587","SRR2245600","SRR2245649","SRR2245666","SRR2245674","SRR2245986","SRR2246268","SRR2246294","SRR2246309","SRR2246328","SRR2246373","SRR2246390","SRR2246404","SRR2246422","SRR2246446","SRR2246494","SRR2246545","SRR2246560","SRR2247025","SRR2247066","SRR2247068","SRR2247090","SRR2247139","SRR2247392","SRR2247525","SRR2247918","SRR2248169","SRR2248209","SRR2248214","SRR2248228","SRR2248231","SRR2248257","SRR2248687","SRR2248811","SRR2248814","SRR2249167","SRR2249243","SRR2249253","SRR2249310","SRR2249326","SRR2249409","SRR2250041","SRR2250383","SRR2250494","SRR2250623","SRR2250658","SRR2251528","SRR2251543"
"Gammaproteobacteria",917,9501,3029,6568,792,8856,9396,3063,11684,3060,1857,9684,5071,1858,4203,1451,12016,7145,30121,6967,11209,4069,1483,9753,2903,2785,1408,8291,3701,25289,3028,2018,852,4774,3630,3208,2106,1787,2113,359,64135,901,9060,17931,739,1339,3580,1164,15728,1231,3253,3605,26995,1502,1356,2547,738,1701,3139,1861,4187,706,945,3247,21940,870,2794,502,4137,19300,1665,2012,4169,509,827,3843,18866,1152,1862,651,49014,7596,1376,21695,1342,3892,16861,12620,2399,1342,1326,29795,11154,1013,603,12520,3340,4081,8896,2580,5595,8740,11136,1176,11173,384,4440,4235,19122,5964,790,5177,11309,8894,4391,6033,17543,1609,5827,5584,14244,619,27824,15091,893,10168,6150,2629,11995,16929,3544,10713,7091,1088,358,1399,759,4971
"Moraxella nasicaprae",0,0,4,8,0,0,0,0,1,0,0,1,0,0,0,0,13,1,1,0,5,0,0,3,0,1,0,0,2,26,0,0,0,0,2,0,1,0,2,0,81,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,1,0,2,0,0,1,0,5,0,0,0,0,1,0,2,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella bovis",0,0,9,9,1,0,0,0,0,0,0,0,0,0,0,0,15,1,5,0,1,0,0,1,0,2,0,4,7,9,0,0,0,0,1,0,0,0,0,0,112,0,7,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,0,24,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,3,0,2,1,0,0,0,2,0,0,0,4,0,0,0,2,0,0,3,0,2,0,3,0,0,6,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,1,1,1,0,1,0,0,0,0,0,0
"Moraxella catarrhalis",0,1,3,12,1,1,0,0,4,0,0,0,1,0,0,0,12,1,3,0,2,0,0,3,0,0,7,2,7,15,0,0,0,0,1,1,1,0,0,0,111,0,4,2,0,0,1,1,0,0,0,0,5,1,0,1,0,0,10,0,15,0,0,0,0,1,1,0,11,0,0,1,2,0,0,22,0,0,7,0,0,1,0,0,0,0,14,0,0,0,0,2,0,1,0,289,0,0,0,4,1,0,4,0,1,1,48,0,2,0,0,4,0,1,0,0,0,0,0,1,0,1,27,1,0,15,0,2,2,0,0,0,1,0,0,1,0,0
"Moraxella nonliquefaciens",0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,3,0,0,0,0,6,0,3,6,22,0,0,0,0,1,0,0,0,0,0,120,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,14,4,0,0,0,0,1,3,0,3,0,0,0,0,4,0,6,1,0,0,0,0,0,0,1,0,0,2,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter",10,11,23,38,19,28,9,4,60,7,2,33,34,5,21,0,59,21,27,12,18,6,1,11,5,3,7,13,26,99,6,13,1,22,8,3,21,24,10,1,472,27,26,25,3,5,36,5,23,3,6,7,180,7,2,10,6,19,20,1,67,1,5,6,6,0,4,1,152,22,0,6,2,4,0,26,30,30,10,18,19761,6,3,85,42,15,28,24,7,2,1,19,9,16,6,47,12,2,9,6,16,8,17,6,16,2,19,13,14,17,2,15,15,42,7,6,12,2,27,13,6,3,111,39,2,73,5,7,21,14,2,59,4,0,1,7,3,3
"unclassified Acinetobacter",2,1,6,10,3,4,1,2,7,2,0,6,4,0,3,0,10,2,4,2,2,1,0,0,0,1,0,2,9,28,1,0,0,3,1,1,4,5,1,0,119,4,7,2,1,2,3,0,7,0,3,2,17,2,0,2,0,1,4,0,11,0,1,0,0,0,1,0,18,3,0,1,0,1,0,2,3,6,3,3,2200,2,0,15,7,2,1,4,0,1,0,3,1,4,2,5,1,0,2,1,4,1,3,1,2,0,3,2,1,3,1,1,3,6,0,1,3,0,3,5,3,0,20,3,0,20,3,1,5,4,0,14,0,0,0,1,1,1
"Pseudomonas aeruginosa group",2,1,1,0,2,4,0,0,27,1,1,3,23,0,1,0,8,1,3,3,2,0,0,0,1,1,1,2,0,3,1,4,0,21,1,1,3,5,1,2,10,1,4,1,0,0,1,1,0,0,1,0,4,1,0,2,1,0,0,0,2,1,0,1,5,1,1,0,5,4,0,0,1,0,0,3,5,0,2,1,183,0,0,3,1,0,6,4,0,0,0,2,1,0,0,0,1,0,1,1,0,0,2,1,0,0,1,0,0,2,0,2,1,3,1,3,1,0,2,1,0,0,15,3,1,2,1,0,0,0,0,20,3,0,0,2,0,3
"Pseudomonas putida group",1,0,0,0,9,1,0,0,181,2,0,0,3,0,2,0,61,2,5,23,4,1,0,0,0,0,0,0,0,4,0,39,0,2,9,1,2,1,0,0,5,1,2,1,0,2,1,1,7,0,1,0,4,1,0,1,1,0,12,0,0,0,1,1,0,1,3,0,4,4,1,0,0,0,0,3,6,0,0,0,6354,1,1,13,3,5,9,4,0,0,0,3,1,1,1,2,3,0,1,1,0,1,1,0,1,0,1,0,7,1,1,0,2,38,2,0,0,1,1,0,0,1,123,1,1,4,1,0,0,1,2,42,1,0,0,1,0,1
"Pseudomonas putida",1,0,0,0,0,0,0,0,74,2,0,0,1,0,2,0,19,1,0,8,4,1,0,0,0,0,0,0,0,1,0,17,0,0,0,1,2,1,0,0,2,0,1,1,0,0,0,0,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,0,2,1,0,0,0,5615,0,0,8,1,1,7,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,2,1,1,0,2,11,1,0,0,1,1,0,0,1,54,0,0,1,1,0,0,1,0,13,0,0,0,1,0,0
