"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_TZO.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82_TZO.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_TZO.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82_TZO.cladeReads"	"C004_R.82.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.82_ORC.cladeReads"	"lineage"
"Cutibacterium acnes"	"S"	1747	33912000	15603384	13420026	30599610	18249009	33911677	10363382	12245093	10840606	9611405	17661617	102768	143767	11	1362550	1	573195	2026741	3	1695524	5	24269478	21091621	592361	15624223	20674157	16163339	18292374	3242573	2356773	10803078	14840467	13790177	1	27391456	NA	7110016	7561564	3	2432371	NA	2331	2008	12210	164	16391	3267	1110	2898	14551	379	203	157	1237	284	120	54	7955	20520	4087	8739	4032	4166	1952	287	956	18345	2651	705	506	2356	254	2726	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium granulosum"	"S"	33011	11383000	640196	223077	633076	210768	288126	126575	116949	104278	1380	5340	11683	11	NA	56	NA	50	63	NA	7	NA	19639	10162	3537	18306	6180	3394	6747	3828	106664	785576	981160	1875946	NA	11383315	1	336759	381393	NA	169888	1	179	211	448	4	156	64	12	86	108	8	NA	4	16	1	3	1	21	157	18	127	34	20	31	3	59	2247	320	80	19	212	11	63	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium avidum"	"S"	33010	629160	12707	6972	14233	4674	7548	3557	5890	2614	433	1501	472	16	NA	99	NA	60	65	1	41	NA	46286	1209	1168	26940	1577	999	1704	784	3684	47799	83392	100429	NA	629161	1	9651	23549	1	13882	1	190	29	40	1	9	728	7	7	11	1	2	2	4	24	1	1	7	27	8	13	5	3	8	1	4	76	186	10	10	21	9	16	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium modestum"	"S"	2559073	113420	922	2636	1295	573	968	428	799	156	1123	6229	482	120	NA	402	NA	233	247	NA	252	NA	113418	5659	2288	66266	6809	4146	6103	2075	1746	5421	11569	5950	NA	21977	NA	3137	3653	NA	624	NA	8	1	16	1	3	3	1	NA	21	1	2	16	7	1	3	NA	9	39	2	30	3	5	11	14	3	21	8	2	5	3	1	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Cutibacterium equinum"	"S"	3016342	8676	604	715	1373	559	1029	674	819	288	39	184	19	2	NA	9	NA	8	3	NA	1	NA	8676	232	175	4861	317	183	351	100	85	427	570	981	NA	4086	NA	132	207	NA	48	NA	6	NA	8	NA	3	7	NA	NA	6	NA	NA	NA	NA	1	NA	NA	1	2	NA	3	1	NA	2	NA	NA	6	4	NA	NA	1	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Acidipropionibacterium acidipropionici"	"S"	1748	16072	800	253	1064	267	319	144	213	73	2	17	1039	1	NA	1	NA	NA	NA	NA	NA	NA	492	7	15	332	15	9	18	7	263	1760	2226	4160	NA	16072	79	823	990	NA	395	1	3	2	1	NA	2	2	NA	NA	1	21	2	1	2	7	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	4	1	NA	4	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Acidipropionibacterium jensenii"	"S"	1749	776	41	20	56	19	27	21	14	4	NA	7	776	1	NA	NA	NA	1	1	NA	2	NA	307	2	12	194	5	3	14	2	4	40	56	113	NA	560	4	23	17	4	2	6	10	NA	1	NA	1	NA	NA	NA	NA	1	1	1	NA	2	NA	NA	NA	NA	NA	3	1	1	1	NA	NA	NA	NA	NA	1	2	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Acidipropionibacterium virtanenii"	"S"	2057246	447	35	13	43	11	20	14	8	7	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	277	2	3	175	6	2	7	NA	3	29	18	48	1	447	2	14	4	2	1	NA	4	1	NA	NA	3	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	1	4	11	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Acidipropionibacterium"
"Propionibacterium freudenreichii"	"S"	1744	2927	668	811	2003	845	1490	1073	1224	187	30	122	2927	NA	377	3	23	7	NA	3	1	2	127	11	6	83	17	3	7	3	40	170	213	221	64	1129	107	36	101	3	18	NA	16	3	13	1	7	1	4	8	1	NA	2	NA	1	6	1	1	NA	NA	1	5	2	NA	2	NA	NA	8	5	2	1	5	2	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
"Propionibacterium acidifaciens"	"S"	556499	724	12	125	15	7	33	10	16	NA	46	545	724	110	2	2	2	3	28	1	9	3	43	3	3	31	1	1	NA	NA	3	10	7	34	3	59	2	2	3	3	NA	NA	94	99	214	99	468	115	37	156	9	NA	66	1	6	5	55	26	1	NA	NA	7	1	NA	3	NA	1	NA	2	4	1	2	4	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
