"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ERR589505","ERR589506","ERR589509","ERR589529","ERR589538","ERR589555","ERR589571","ERR589575","ERR589579","ERR589593","ERR589736","ERR589737","ERR589766","ERR589767","ERR589788","ERR589789","ERR589813","ERR589837","ERR589839","ERR589849","ERR589851","ERR589852","ERR589853","ERR589856","ERR589857","ERR589859","ERR589868","ERR589442","ERR589443","ERR589485","ERR589501","ERR589511","ERR589530","ERR589532","ERR589537","ERR589544","ERR589561","ERR589563","ERR589565","ERR589572","ERR589576","ERR589581","ERR589747","ERR589748","ERR589764","ERR589769","ERR589771","ERR589772","ERR589775","ERR589833","ERR589858","logFC"
"5","[Clostridium] hylemonae",1230.25723648913,-0.581632471254549,0.254842225928761,-2.28232377556276,0.0224702318602329,0.154700608897551,1074,501,426,187,1435,2303,903,1956,1325,2147,2020,807,1482,2766,632,849,3030,842,3281,531,586,2723,1306,1421,1518,1191,93,1793,1583,982,798,1385,179,516,2014,1020,1002,197,542,11142,1182,873,817,1559,1223,1895,1549,2074,607,16,601,-0.175088820299787
"7","[Clostridium] scindens",23964.7264173811,-1.39687490837566,0.426214406786952,-3.2773995579035,0.001047679980393,0.0304012079016393,15906,14861,6782,1921,34891,23358,10732,13944,6849,12143,14322,12528,11237,63740,9670,19092,12566,12231,35770,30804,7428,21829,5555,12162,28654,8735,1057,39584,31905,8697,4196,10285,882,2613,102970,361752,2729,957,4934,357622,36607,9840,9220,11421,9642,32292,8278,12994,9817,117,11088,-0.420501247611448
"9","[Enterobacter] lignolyticus",9.39496654417162,-1.6817575404103,0.458012286964794,-3.67186118860513,0.000240790465891087,0.0146628847073059,10,1,0,0,3,1,10,3,2,1,21,5,9,1,23,13,10,4,5,4,6,14,6,8,2,9,1,32,8,33,5,4,1,1,10,2,2,2,0,3,3,17,123,7,17,40,95,4,5,0,5,-0.506259465097581
"12","[Haemophilus] ducreyi",2.12019607565288,0.732582865010847,0.588766606115124,1.24426701073397,0.213401308196316,0.484229676174533,2,0,2,0,38,8,1,2,1,13,2,0,5,4,0,1,3,4,2,8,1,2,10,0,0,2,0,4,3,0,1,11,0,2,9,0,0,0,0,1,0,1,4,1,1,1,1,0,0,0,1,0.220529416677722
"14","[Leptolyngbya] sp. PCC 7376",13.3678722591286,1.58375052715119,0.831234136143296,1.9053001534554,0.056741065547167,0.240880960709272,46,1,0,1,0,23,1,0,41,1,0,98,3,48,3,16,0,6,3,0,0,3,12,64,229,10,0,0,10,0,31,1,0,0,0,0,0,0,6,2,0,2,2,2,13,9,0,60,11,1,1,0.47675641432115
"21","[Mycoplasma] mobile><wbr>Mycoplasma mobile 163K",2.53762689326499,-0.636128664771361,0.505575426674404,-1.25822702451287,0.208309664143948,0.480439915863148,7,0,0,0,4,13,1,4,3,2,5,5,2,0,1,1,4,1,6,1,4,13,2,5,0,10,0,1,0,1,1,23,0,0,1,6,0,0,0,2,1,18,1,12,11,2,29,1,1,0,1,-0.191493809197857
"26","[Ruminococcus] lactaris><wbr>[Ruminococcus] lactaris ATCC 29176",23720.4655694381,-1.28650759949095,0.384302429873717,-3.34764367717815,0.000815017282716613,0.0269967237452951,38893,3928,24164,6690,21118,7420,2701,12928,2928,13962,25996,66587,7480,18391,31020,10293,52383,9073,124854,3083,4853,16314,4510,7333,12015,6248,698,16096,12058,17273,134027,14962,2626,1063,8539,34479,2280,1438,3284,179145,11241,124051,128842,81152,27330,63444,4508,100815,65381,543,20870,-0.387277377096439
"27","[Ruminococcus] torques",50453.1663787892,1.33519658058128,0.52486826051471,2.54386992132449,0.010963190290085,0.109921580693067,226174,320762,96699,614,29026,15957,59994,24962,1582,5650,177091,49625,17561,125335,111768,161841,10700,3992,17064,12651,41196,246633,13037,4678,16383,63148,4260,11226,68699,12321,7957,15926,677,1050,10655,6741,7083,404,703,199402,23090,23038,83791,139668,5626,111733,136085,47990,2588,280,3226,0.401934220862945
"29","16SrI (Aster yellows group)",2.58288051198123,-0.0829305567705836,0.879175976283095,-0.0943275965310044,0.924848928782814,0.96792293998706,4,0,0,5,0,1,0,0,0,0,18,11,0,0,2,0,4,4,1,0,0,24,2,0,0,39,0,0,2,0,1,0,0,0,0,0,0,0,0,0,24,16,0,22,1,2,4,1,13,0,5,-0.0249645851450603
"36","Abiotrophia defectiva ATCC 49176",75.1929243120303,1.88992655184923,0.582616292575073,3.24386148471072,0.00117921075800474,0.0324974674259073,42,438,5,0,17,21,2,125,17,333,14,45,17,3,26,22,87,149,818,120,9,527,418,114,323,14,1,12,31,35,9,57,0,0,19,1,1,21,8,125,6,35,64,14,69,14,7,2,243,0,63,0.568924581708417
