ID,Group,Streptococcus sp. Marseille-Q6470,Streptococcus sp. oral taxon 061,Streptococcus sp. oral taxon 431,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,Streptococcus sp. NPS 308,Streptococcus sp. 116-D4,Streptococcus sp. SP4011,Streptococcus sp. A12,Streptococcus sp. 1643,Streptococcus sp. D7B5,Streptococcus sp. FSL W8-0197,Streptococcus sp. oral taxon 064,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,Streptococcus mitis,Streptococcus mitis B6,Streptococcus pneumoniae,Streptococcus ilei,Streptococcus sanguinis,Streptococcus sanguinis SK36,Streptococcus rubneri,Streptococcus anginosus group,Streptococcus anginosus subsp. whileyi><wbr>Streptococcus anginosus subsp. whileyi MAS624,Streptococcus australis,Streptococcus koreensis,Streptococcus gwangjuense,Streptococcus toyakuensis,Streptococcus pseudopneumoniae IS7493,Streptococcus thermophilus,Streptococcus milleri,Streptococcus ferus,Streptococcus himalayensis,Streptococcus parauberis,Granulicatella elegans,Abiotrophia><wbr>Abiotrophia defectiva,Abiotrophia defectiva ATCC 49176,Gemella sanguinis,Gemella haemolysans,Gemella morbillorum,Blautia sp. SC05B48,Actinomyces,Actinomyces sp. oral taxon 171><wbr>Actinomyces sp. oral taxon 171 str. F0337,Rothia mucilaginosa,Rothia mucilaginosa DY-18,Rothia aeria,Rothia dentocariosa,Corynebacterium durum,Alistipes communis,Citrobacter arsenatis,Escherichia coli O157:H7,Enterobacter chuandaensis,unclassified Enterobacter,Enterobacter sp. T2,unclassified Leclercia,Leclercia adecarboxylata,Kosakonia,Kosakonia radicincitans,Cronobacter,[Enterobacter] lignolyticus,Pseudescherichia><wbr>Pseudescherichia vulneris,Franconibacter><wbr>Franconibacter daqui,Cedecea,Cedecea neteri,Buttiauxella,Shigella flexneri,Serratia marcescens,Cardiobacterium hominis,Fusobacterium pseudoperiodonticum,Fusobacterium periodonticum,Fusobacterium hwasookii,Treponema putidum,Aliceevansviridae,Lactococcus piscium><wbr>Lactococcus piscium MKFS47,Enterobacter sp. RHBSTW-00994,Leclercia pneumoniae,Shigella dysenteriae,Shimwellia><wbr>Shimwellia blattae,Escherichia coli O157:H7 str. EDL933,Escherichia coli O158:H23,Escherichia coli O157:H16,Escherichia coli VR50,Escherichia coli O44:H18><wbr>Escherichia coli 042,Escherichia coli O8:H8,Escherichia coli O2:K1:H4,Escherichia coli O78:H4,Escherichia coli O150:H6,Escherichia coli O6:H16,Escherichia coli O85:H1,Enterobacter cloacae complex sp. R_G8,Enterobacter wuhouensis,Shigella sonnei,Kosakonia sp. BYX6,Kosakonia pseudosacchari,Jejubacter><wbr>Jejubacter calystegiae,Enterobacter chengduensis,Escherichia coli ATCC 8739,Escherichia coli O99:H6,Escherichia sp. SCLE84,Citrobacter gillenii,Leclercia sp. W6
ERR589443,3,0.311217886,0.342375267,0.155655696,0.155655696,-0.29135022,-1.581709977,-1.581709977,-1.581709977,-0.941045776,-1.581709977,-0.632008201,-1.581709977,-0.090475844,0.105783959,-0.941045776,0.423446147,-0.18045206,0.612140079,-1.581709977,-0.18045206,0.20030982,-0.29135022,-1.581709977,-0.941045776,-0.941045776,0.597025712,-1.581709977,1.051483585,0.371284316,-1.581709977,-1.581709977,0.597025712,0.865435346,-0.090475844,0.654045638,0.311217886,0.905867268,0.469446019,2.237510532,1.156327892,0.447129879,0.850787651,-0.18045206,-0.29135022,-0.18045206,0.746448161,2.666506114,-0.632008201,1.586271075,-0.434335309,0.736138863,-1.581709977,-1.581709977,0.912149865,0.342375267,0.371284316,0.827544236,0.049437706,-0.29135022,0.510517093,-1.581709977,1.09640896,-0.090475844,1.622592188,0.819426879,-0.29135022,0.746448161,-1.581709977,0.342375267,0.423446147,-1.581709977,-0.632008201,0.736138863,-0.015135476,1.580100598,-0.090475844,1.399852598,1.310908202,1.153452766,1.196439119,0.924365341,0.858191611,-0.18045206,-0.090475844,0.905867268,0.766193005,0.865435346,-1.581709977,-1.581709977,1.426736954,0.049437706,0.469446019,-0.29135022,-0.941045776,-0.632008201,-0.015135476,-0.29135022,-1.581709977,-0.941045776
ERR589501,2,0.42504293,-0.43680184,-0.17398997,-0.43680184,0.45114626,-0.96133241,-0.43680184,0.475662906,-0.641426536,-0.641426536,-0.43680184,-1.624527629,-0.28878822,0.64647622,-0.96133241,0.64647622,1.399683698,0.825281961,-0.43680184,1.061394985,-0.96133241,-1.624527629,0.774835821,1.147775974,-0.002859497,0.261949121,-0.28878822,1.366304912,-1.624527629,-1.624527629,-0.43680184,-0.96133241,-0.43680184,-0.002859497,0.122312459,0.579627449,0.8157454,-0.002859497,2.245817594,0.963418273,0.063984609,1.031830054,0.122312459,-0.080849451,0.475662906,0.300029241,2.914103969,-0.17398997,0.33497113,2.050355586,2.03292847,-0.641426536,0.300029241,1.338529537,0.975831696,1.031830054,0.33497113,-0.17398997,-0.28878822,-1.624527629,-0.641426536,1.232638493,-0.641426536,0.560925868,0.630830309,0.42504293,0.300029241,-1.624527629,-1.624527629,0.579627449,-1.624527629,-0.96133241,1.191503751,1.194628808,0.916018684,0.173938096,0.579627449,-0.43680184,-0.28878822,-0.28878822,-0.96133241,-0.28878822,-0.96133241,-0.96133241,-1.624527629,-0.96133241,-1.624527629,1.021356773,1.843820833,0.122312459,-0.641426536,-0.43680184,-0.43680184,1.770835279,-1.624527629,-1.624527629,-0.43680184,-0.641426536,-0.641426536
ERR589503,2,-0.452724704,-0.452724704,0.23131942,0.348080622,0.348080622,0.348080622,1.054541889,-0.452724704,-0.452724704,0.080774893,-0.127348711,-0.452724704,-1.127259996,1.301946251,0.522137281,1.491832254,0.701957962,1.344773593,-0.452724704,0.23131942,1.323984864,-0.452724704,0.080774893,-0.452724704,0.080774893,0.080774893,-1.127259996,1.846430228,-0.127348711,-1.127259996,-1.127259996,0.348080622,1.054541889,0.348080622,-0.127348711,1.498447004,1.095562896,1.266211658,2.932199867,1.775949756,0.865744524,1.943810559,0.898549156,0.649449571,0.649449571,1.313130527,3.429848772,0.080774893,0.522137281,-1.127259996,-0.127348711,-1.127259996,-1.127259996,0.442813765,0.522137281,1.344773593,0.590124365,0.080774893,-1.127259996,-0.452724704,-0.452724704,1.240334698,0.442813765,0.442813765,1.313130527,-0.127348711,-0.127348711,-1.127259996,-1.127259996,1.132727485,-1.127259996,-0.127348711,-0.127348711,0.080774893,-0.127348711,-0.452724704,-0.127348711,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-0.452724704,-1.127259996,-0.452724704,-1.127259996,-0.452724704,-1.127259996,0.23131942,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996,-1.127259996
ERR589504,2,0.971087264,0.925233895,0.937343117,0.779193316,0.605818644,0.572128972,0.33158238,1.292635482,0.21532639,0.21532639,0.33158238,0.167727573,0.052319075,1.103054326,0.25794539,1.138668479,1.606144914,1.147671349,0.33158238,1.591555721,0.769353868,-0.831392592,1.328971889,1.424192392,0.33158238,0.21532639,0.21532639,1.68503845,0.167727573,-0.347775602,0.052319075,-0.536439495,1.088952924,0.21532639,-0.105463157,1.594873967,1.150611231,0.737969313,2.201333131,1.042128698,0.53494346,1.804718002,1.106476807,0.470912214,0.589371822,1.26671942,2.360305049,-0.831392592,0.446844954,-1.442858336,-0.831392592,-0.831392592,-1.442858336,-0.105463157,0.296472523,-0.536439495,-0.831392592,-0.105463157,-1.442858336,-0.831392592,-1.442858336,0.052319075,-0.536439495,0.363798788,0.167727573,0.421127673,0.113949317,-0.831392592,0.33158238,-0.347775602,-1.442858336,0.33158238,-0.2113071,-0.347775602,0.493516553,-1.442858336,0.296472523,-0.019587633,-0.831392592,-0.831392592,-1.442858336,-1.442858336,-1.442858336,-1.442858336,-1.442858336,-0.831392592,-1.442858336,-1.442858336,-0.536439495,0.25794539,-1.442858336,-1.442858336,-0.536439495,-1.442858336,-1.442858336,-1.442858336,-0.831392592,-0.831392592,-1.442858336
ERR589505,1,1.145800892,1.115584718,1.071896424,0.913972074,0.279463683,0.491922188,0.399716591,1.155917828,0.279463683,-0.058003382,-0.322706537,-0.058003382,-0.058003382,1.207138689,0.399716591,1.12452074,1.615362611,1.122310562,0.142804932,1.591625738,0.173895285,-1.237455392,1.249498953,1.389970927,0.399716591,0.477992087,0.432924584,2.382539235,-0.905099689,-1.926460285,-0.241681435,0.173895285,0.705331999,0.363474249,0.60878124,1.213801648,0.822394423,0.530915188,2.22499317,0.843822727,-0.41947182,1.323012709,0.202873739,0.109296601,-0.692511582,0.142804932,1.55177476,0.033432783,0.748814672,-0.905099689,-0.172235946,-1.926460285,-1.926460285,0.554855384,0.255463701,-0.692511582,-0.322706537,-0.058003382,-0.692511582,-0.41947182,-1.926460285,0.279463683,0.323633736,0.805402666,0.142804932,-0.058003382,0.77509764,-0.692511582,-1.237455392,0.033432783,-0.172235946,0.399716591,-0.322706537,-0.111638142,0.811159659,-0.905099689,0.505365942,-0.172235946,0.072994873,-1.926460285,-0.009979925,-1.237455392,-1.926460285,-0.41947182,-0.905099689,-1.926460285,-1.237455392,-1.237455392,-0.692511582,0.588135104,-0.905099689,-0.538737692,-0.322706537,-0.538737692,-1.926460285,-1.926460285,-1.237455392,0.518354241,-1.926460285
ERR589507,2,0.781692394,0.630143985,0.937481904,1.082196421,0.360091024,0.322347062,0.770400082,1.354396382,-0.455889729,0.322347062,-0.137366559,-0.455889729,0.280594413,1.286784816,0.455181573,1.282602858,1.384893306,1.308706867,0.573995695,1.139978028,0.758711787,-1.343883072,1.153629706,1.249032592,0.630143985,0.758711787,0.573995695,1.893996451,-0.137366559,-0.137366559,-0.033674189,0.455181573,1.026169,0.901235974,0.770400082,1.139978028,0.792613158,0.885489382,2.586304811,1.468041973,1.060111948,1.253751225,0.360091024,0.050455675,0.426048694,1.069143369,2.716959211,-1.343883072,-0.455889729,-0.271060957,-0.137366559,-1.343883072,-1.343883072,0.233963175,0.426048694,-1.343883072,0.181278112,0.050455675,-0.033674189,-1.343883072,-0.744847079,0.280594413,-0.455889729,0.553129583,0.507406714,-0.033674189,0.233963175,-1.343883072,-0.744847079,-0.271060957,0.181278112,-0.137366559,-0.455889729,-0.455889729,0.050455675,-0.271060957,-0.744847079,-0.455889729,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-0.744847079,-1.343883072,-0.271060957,-0.744847079,-1.343883072,-0.744847079,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072,-1.343883072
ERR589508,2,0.139197132,0.375711101,0.42120653,0.501486377,-0.145118029,0.059336531,-0.282270842,0.601750433,-0.033840338,-0.459107025,0.059336531,-0.459107025,-0.033840338,1.301621458,0.270561765,1.165732701,0.684722261,1.378472983,-0.033840338,0.139197132,0.631041184,-1.878117619,0.918422602,0.42120653,0.570564025,0.601750433,-0.282270842,2.370756062,-1.085778975,-0.703578109,-0.703578109,-0.703578109,0.77656248,-0.033840338,-0.282270842,0.501486377,0.684722261,0.684722261,2.774761292,1.157147058,0.325787557,1.228607405,0.059336531,-0.145118029,0.658640572,0.462952622,3.90453498,-0.282270842,1.347368741,-0.459107025,-0.282270842,-1.878117619,-1.085778975,0.537239516,0.709435044,-0.703578109,0.709435044,-0.033840338,0.375711101,0.139197132,-1.085778975,0.208883114,-1.085778975,1.584585499,0.208883114,0.059336531,-1.085778975,-1.878117619,-1.878117619,-0.459107025,-0.459107025,-0.033840338,-0.282270842,0.059336531,1.578789364,-0.033840338,1.295510276,0.139197132,0.270561765,-0.033840338,-0.459107025,-0.459107025,-1.085778975,-1.878117619,-0.703578109,-0.459107025,-0.282270842,-1.878117619,-0.282270842,1.242912303,-1.878117619,-1.085778975,0.139197132,-0.703578109,-1.085778975,-0.282270842,-0.703578109,-1.878117619,-1.085778975
ERR589510,2,-0.202086443,-0.339466544,0.002706937,0.002706937,0.269599523,0.214282211,0.082699882,-1.14430624,0.152501346,0.214282211,-0.202086443,-0.202086443,-1.937957938,1.281909338,0.152501346,1.181143436,-0.761471996,0.406991895,-1.937957938,-0.761471996,-0.202086443,-1.937957938,0.653882785,-1.14430624,0.603004138,0.082699882,-0.090624344,0.920222626,-1.937957938,-1.14430624,-0.516595777,-1.14430624,0.575359012,0.815039985,0.699774318,0.920222626,1.015696358,1.084580287,2.510126887,1.781924369,0.603004138,1.571299513,0.629129048,0.002706937,1.357466065,0.629129048,3.009836544,-0.339466544,1.084580287,-0.516595777,-0.339466544,-1.937957938,0.152501346,1.571299513,1.173915513,-0.339466544,0.152501346,0.214282211,-0.339466544,0.002706937,-0.516595777,0.319605799,-0.090624344,1.530483529,0.761049242,0.815039985,0.741521187,-1.14430624,-1.937957938,-0.339466544,-1.937957938,-1.14430624,-0.339466544,0.815039985,1.530483529,-0.202086443,1.188244116,0.365176622,0.002706937,1.084580287,-0.516595777,-0.339466544,-1.14430624,-0.516595777,-0.339466544,-0.339466544,-1.937957938,-1.14430624,0.002706937,0.815039985,-0.090624344,-1.937957938,-0.090624344,-0.090624344,-0.202086443,-0.339466544,-0.761471996,-0.761471996,0.214282211
ERR589511,3,0.537132729,0.463349724,0.371636771,0.520011138,0.025083314,0.663100476,0.48320359,1.101216206,-0.039075452,-0.455584948,-0.203331068,-0.455584948,0.285183443,1.408602801,0.537132729,1.11327581,0.954047323,1.456389255,0.569157015,0.773398085,0.537132729,-0.959043454,0.781867949,0.48320359,0.773398085,0.727569084,0.396691447,1.473332887,-0.313517507,-0.313517507,-0.455584948,0.900298597,0.569157015,0.663100476,0.863162975,1.054768665,1.061853489,1.082172155,2.256478324,1.478210673,0.842888465,1.492322642,0.674705188,1.051163888,1.504257551,1.229161353,2.509456101,-0.651989218,-0.651989218,-0.959043454,-0.959043454,-1.595596007,-0.651989218,0.638680634,0.174987162,-1.595596007,-0.113932301,-0.313517507,-0.959043454,-1.595596007,-0.651989218,0.977868451,-1.595596007,0.463349724,0.396691447,0.081067948,0.598594573,-0.959043454,0.674705188,1.16965378,-0.651989218,0.025083314,-0.313517507,-0.203331068,0.502060859,0.081067948,0.025083314,-0.039075452,-0.959043454,-0.959043454,-0.959043454,-1.595596007,-1.595596007,-1.595596007,-1.595596007,-0.959043454,-1.595596007,-1.595596007,-0.959043454,-0.203331068,-0.651989218,-1.595596007,0.081067948,-0.203331068,-0.959043454,-1.595596007,-1.595596007,-1.595596007,-1.595596007
ERR589512,2,0.586581443,0.769695337,0.477671984,0.739730346,-0.245833787,-0.245833787,-0.245833787,1.022380434,-0.737559863,-0.245833787,0.000541652,-0.437661117,0.278313129,0.689495361,-1.359278408,0.909748418,1.519417439,1.167375845,0.409216821,1.259270348,1.029117267,-0.737559863,1.116102939,1.31660729,0.160969511,1.10579822,-0.737559863,2.378734966,-0.245833787,-0.437661117,-0.107077038,0.087857101,1.803975653,-0.245833787,0.160969511,0.278313129,0.444915385,1.095143219,2.239489359,1.21129132,-0.437661117,2.149997409,1.516887894,0.858116444,0.954509435,0.769695337,2.455114767,0.370043681,0.879718705,-0.737559863,-0.245833787,-1.359278408,-1.359278408,0.507907983,0.954509435,-0.737559863,0.477671984,0.409216821,-1.359278408,-0.737559863,-0.437661117,0.535962136,-0.737559863,0.278313129,-0.107077038,0.326710064,0.278313129,-1.359278408,1.145117497,0.723749928,-0.245833787,0.000541652,-0.245833787,-0.107077038,0.370043681,0.409216821,0.409216821,-1.359278408,-1.359278408,-0.737559863,-1.359278408,-1.359278408,-1.359278408,-0.737559863,-1.359278408,-1.359278408,-1.359278408,-1.359278408,-0.737559863,-0.245833787,-0.437661117,-1.359278408,-1.359278408,-0.737559863,-1.359278408,-1.359278408,-1.359278408,-1.359278408,-1.359278408
