"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Streptococcus sp. 116-D4"	"S"	2598453	1553000	95903	763	89248	1957	54430	3230	18692	404	39703	524	41055	377	679472	25712	59573	1334	4716	413	7146	3998	6716	96	3482	996	152445	1363	5662	416	5855	60	23363	1125	1351115	4824	871155	126	1552954	249	32838	2009	622178	1814	193481	458434	530	723926	7839	161881	8322	145514	23359	379996	19148	95338	3212	63950	4726	27158	4356	93551	15988	111841	428	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q6470"	"S"	2972784	32016	32016	43	4599	377	14735	328	3416	21	2718	54	9363	3	3243	206	3605	78	918	101	2907	621	4366	72	354	1679	591	60	3177	86	1842	24	2569	206	1295	29	1619	15	1245	497	5368	621	1532	31	20246	7284	23	4412	87	4905	267	1378	151	3501	26	12591	176	6175	13	427	29	1066	82	815	36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006"	"S"	3077584	116770	24097	279	27353	2044	9513	598	20293	67	35725	137	27804	132	56890	1804	13183	138	3973	169	3615	522	11634	115	7844	2424	4813	427	12690	116	5657	31	48348	1506	34800	189	36015	13	38444	219	5291	88	33705	123	18155	40241	40	42606	1129	46279	2824	24964	4938	116768	1873	39461	1476	15145	1540	3783	90	9985	1903	22501	132	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 431"	"S"	712633	44918	19508	242	9053	677	35440	1550	11640	73	6640	80	24811	55	25140	3129	8157	64	1397	316	2577	940	3977	170	1127	812	1388	43	3540	140	1459	11	10974	209	12717	45	16126	6	11010	227	4672	93	9532	22	12089	19738	11	18125	285	19327	2934	12991	5476	44918	2280	18192	638	12012	1539	1821	141	5137	1843	5807	36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 061"	"S"	712623	39862	16320	44	3581	270	3966	472	1513	3	3733	72	4524	35	10580	203	2726	50	661	115	1319	477	3976	NA	656	1464	399	137	1633	163	1647	1	25514	757	1932	99	1819	21	2486	360	7946	290	4712	47	26260	24860	14	28154	598	5762	1304	2626	1647	3743	223	39862	1674	27034	981	1058	149	2040	676	1884	100	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. SP4011"	"S"	2993430	27929	13494	27	24500	307	3473	238	474	18	14247	39	3809	4	27929	714	2629	32	3378	91	4702	875	2304	NA	3358	137	9548	99	2893	303	1517	NA	9901	46	10762	22	12153	4	7794	NA	1769	221	9704	23	1544	7087	3	4293	103	17056	587	9087	192	24515	124	9985	137	6120	207	2407	24	8559	458	15164	36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. A12"	"S"	1759399	103980	10469	44	2440	1307	4649	369	15858	39	20116	176	16774	33	9009	686	8046	70	815	363	733	394	11283	1	1048	3095	165	64	1077	45	3653	132	5150	703	818	49	493	14	1595	248	13219	34	502	51	103984	17277	16	11287	195	3028	875	2600	1097	7924	276	10087	517	3661	622	616	55	1394	287	1705	97	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q3533"	"S"	2759692	71057	8864	79	2099	195	2203	234	1014	19	5519	111	3367	53	1704	345	3776	22	1156	58	3060	446	6519	NA	772	3479	453	79	7024	226	2767	20	3105	338	3512	200	3656	118	2623	277	11869	298	4400	124	71057	19487	20	7451	380	6782	1566	3466	1844	5696	303	23093	775	39486	300	912	1	2487	923	2156	108	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S1"	"S"	3098075	17837	2250	160	650	209	4309	316	1289	31	1989	451	2762	433	4945	1546	1118	73	882	65	874	166	17837	18	738	709	158	25	1073	94	2280	44	806	247	144	30	97	1	123	308	275	NA	372	29	610	506	NA	3066	34	169	237	187	43	357	63	464	16	101	143	47	12	180	32	119	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. LPB0220"	"S"	2610896	2543	1811	3	326	26	2543	39	280	NA	894	19	1406	1	535	40	1067	16	77	NA	228	114	294	31	51	27	56	2	162	99	141	NA	397	27	135	41	127	1	175	225	473	NA	183	NA	578	1302	NA	318	9	193	34	174	30	338	141	512	15	85	NA	63	10	143	5	119	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL W8-0197"	"S"	2975349	3674	1389	9	1468	38	148	NA	96	8	1130	13	371	NA	897	41	117	2	447	NA	660	31	223	NA	222	60	331	23	2905	168	681	NA	487	30	289	NA	300	NA	203	159	74	NA	300	23	396	841	NA	249	13	2120	61	1315	107	3629	27	1854	49	1292	NA	794	7	3674	11	667	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_522"	"S"	2420310	3687	1348	50	1113	246	2128	85	224	10	2112	1	727	3	876	103	346	NA	1295	NA	883	6	2034	NA	1526	193	2181	59	1073	98	224	NA	559	16	1252	24	1329	2	2379	NA	943	NA	1644	NA	578	466	1	483	27	1609	71	2346	202	3687	114	934	51	946	5	631	41	990	45	752	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S5"	"S"	3098076	2104	1345	NA	68	27	2104	79	293	11	820	8	1320	NA	205	27	693	NA	67	NA	68	76	373	NA	85	57	35	61	149	NA	161	NA	463	30	84	24	151	5	46	83	343	37	43	NA	705	603	NA	513	NA	228	93	85	26	562	21	1489	NA	86	NA	84	10	60	10	136	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. D7B5"	"S"	3038077	2636	981	5	1619	69	403	9	195	14	1285	21	494	7	1411	46	161	12	321	NA	491	27	294	NA	183	41	376	29	1181	487	342	NA	2636	721	717	NA	561	1	697	147	298	NA	567	1	772	902	NA	533	16	1753	NA	1181	96	2562	68	1009	34	965	1	475	31	1971	52	434	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
