"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Streptococcus sp. 116-D4"	"S"	2598453	1553000	111841	1882	95903	89248	54430	18692	39703	41055	679472	59573	4716	7146	6716	3482	152445	5662	5855	23363	1351115	871155	1552954	32838	622178	193481	458434	723926	161881	145514	379996	95338	63950	27158	93551	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006"	"S"	3077584	116770	22501	245	24097	27353	9513	20293	35725	27804	56890	13183	3973	3615	11634	7844	4813	12690	5657	48348	34800	36015	38444	5291	33705	18155	40241	42606	46279	24964	116768	39461	15145	3783	9985	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. SP4011"	"S"	2993430	27929	15164	1	13494	24500	3473	474	14247	3809	27929	2629	3378	4702	2304	3358	9548	2893	1517	9901	10762	12153	7794	1769	9704	1544	7087	4293	17056	9087	24515	9985	6120	2407	8559	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FSL R7-0248"	"S"	2975324	77825	12351	NA	123	60	229	14	49	118	53	70	22588	29325	77825	5411	19	24917	6042	5608	17	20	7	213	19	81	82	181	10003	10223	38577	8660	5142	1398	9419	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 431"	"S"	712633	44918	5807	220	19508	9053	35440	11640	6640	24811	25140	8157	1397	2577	3977	1127	1388	3540	1459	10974	12717	16126	11010	4672	9532	12089	19738	18125	19327	12991	44918	18192	12012	1821	5137	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q3533"	"S"	2759692	71057	2156	993	8864	2099	2203	1014	5519	3367	1704	3776	1156	3060	6519	772	453	7024	2767	3105	3512	3656	2623	11869	4400	71057	19487	7451	6782	3466	5696	23093	39486	912	2487	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 061"	"S"	712623	39862	1884	162	16320	3581	3966	1513	3733	4524	10580	2726	661	1319	3976	656	399	1633	1647	25514	1932	1819	2486	7946	4712	26260	24860	28154	5762	2626	3743	39862	27034	1058	2040	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. A12"	"S"	1759399	103980	1705	55	10469	2440	4649	15858	20116	16774	9009	8046	815	733	11283	1048	165	1077	3653	5150	818	493	1595	13219	502	103984	17277	11287	3028	2600	7924	10087	3661	616	1394	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NPS 308"	"S"	1902136	3594	1542	201	874	1383	469	224	1330	769	1589	293	464	953	347	273	1465	873	606	677	1044	1917	678	426	911	3359	3594	557	2498	1438	2951	1666	963	486	1338	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. HN38"	"S"	3020829	847	815	NA	313	388	168	46	461	135	292	142	370	422	401	73	248	415	264	847	282	320	72	99	97	108	185	128	485	321	733	696	177	100	414	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
