"","C001_FD2_ORC","C001_FD3_ORC","C001_L.3_ORC","C001_L.44_ORC","C001_L.92_ORC","C001_R.1_ORC","C001_R.45_ORC","C001_R.82_ORC","C002_FD2_ORC","C002_FD3_ORC","C002_L.3_ORC","C002_L.44_ORC","C002_L.92_ORC","C002_R.1_ORC","C002_R.45_ORC","C002_R.82_ORC","C003_FD2_ORC","C003_FD3_ORC","C003_L.3_ORC","C003_L.44_ORC","C003_L.92_ORC","C003_R.1_ORC","C003_R.45_ORC","C003_R.82_ORC","C004_FD2_ORC","C004_FD3_ORC","C004_L.3_ORC","C004_L.44_ORC","C004_L.92_ORC","C004_R.1_ORC","C004_R.45_ORC","C004_R.82_ORC"
"[Acidovorax] ebreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Actinomadura] parvosata",0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0
"[Brevibacterium] flavum",4,8,7,0,0,2,0,0,0,1,0,2,8,0,0,0,0,0,0,18,0,0,0,12,2,0,1,2,3,12,1,0
"[Clostridium] colinum",1,0,6,0,0,26,2,0,0,0,1,0,0,1,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,12,0,0
"[Clostridium] hylemonae",2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"[Clostridium] innocuum",174,112,102,152,64,143,113,26,58,24,119,129,38,78,61,66,90,120,98,33,63,182,299,67,43,113,178,121,47,28,70,30
"[Clostridium] scindens",4,34,17,24,14,31,5,14,236,7,12,17,4,12,1,5,60,24,32,21,1,191,15,76,14,39,1,5,10,21,8,21
"[Enterobacter] lignolyticus",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Haemophilus] ducreyi",157,290,58,8,48,89,458,98,52,12,47,44,14,31,12,15,75,53,39,33,15,100,50,15,22,43,55,26,14,11,34,9
"[Kitasatospora] papulosa",0,19,9,75,2,43,0,0,8,2,0,0,1,0,0,0,7,0,5,33,2,4,10,7,0,12,1,6,0,5,0,9
"[Mannheimia] succiniciproducens",2,7,6,0,1,72,1,3,16,0,0,0,0,0,0,2,17,1,5,103,3,46,7,54,0,1,7,0,1,0,0,23
"[Mycobacterium] stephanolepidis",0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,17,0,7,0,0,2,0,0,5
"[Mycoplasma] anseris",3,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,14,0,0,1,0,2,0,0,0,0,0
"[Mycoplasma] gypis",2,26,16,15,0,41,0,5,4,1,3,0,0,1,1,12,0,2,12,49,0,71,20,129,2,7,0,1,1,4,0,32
"[Mycoplasma] mobile",1,7,8,54,2,69,0,6,0,3,0,0,0,3,0,1,10,5,0,6,0,38,0,61,0,21,0,5,0,13,0,21
"[Pantoea] beijingensis",0,1,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0
"[Pseudomonas] carboxydohydrogena",26,57,78,724,6,248,18,18,642,5,22,13,6,10,13,28,96,455,17,817,23,152,156,76,26,202,31,34,45,65,22,77
"[Ruminococcus] lactaris",129,55,30,75,74,65,84,61,12,12,279,12,0,34,15,51,307,457,152,210,281,206,73,66,231,363,91,143,191,235,50,41
"[Ruminococcus] torques",1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,19,0,0,0,0,0,0,0,0,0,14
"Aarhusvirus katbat",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia defectiva",397,128,98,220,161,113,142,138,51,22,616,68,77,87,34,93,667,1192,462,372,777,766,158,239,604,793,293,353,452,743,77,79
"Abyssibius alkaniclasticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Abyssicoccus albus",0,0,12,0,0,0,0,1,3,0,2,0,0,0,0,3,1,1,0,0,0,2,0,40,0,0,0,8,1,0,0,3
"Acaryochloris sp. 'Moss Beach'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Aceticella autotrophica",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetilactobacillus jinshanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Acetivibrio clariflavus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetivibrio saccincola",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
"Acetivibrio thermocellus",249,90,115,867,88,385,12,146,16,59,193,18,0,117,510,286,4,1,1,218,1,112,675,290,13,4,17,278,3,25,5,68
"Acetoanaerobium sticklandii",569,146,404,539,42,227,35,173,15,41,9,5,8,16,4,14,104,107,42,53,48,123,195,60,12,2,27,38,7,3,7,13
"Acetobacter aceti",25,16,11,20,29,8,69,17,16,6,20,27,41,21,3,15,15,29,31,10,29,11,14,12,28,54,45,10,11,9,46,35
"Acetobacter ascendens",0,5,0,0,0,0,0,0,0,0,15,4,0,2,1,0,8,370,2,0,0,0,10,0,0,12,0,0,11,2,0,0
"Acetobacter ghanensis",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter oryzifermentans",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0
"Acetobacter oryzoeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter pasteurianus",3,20,6,112,3,26,0,41,3,4,14,0,0,2,0,43,8,18,40,80,0,15,15,394,4,6,4,9,1,13,1,154
"Acetobacter persici",0,21,28,40,3,7,1,4,0,2,6,0,0,0,2,1,2,0,11,43,1,38,7,44,12,0,4,0,1,4,1,13
"Acetobacter senegalensis",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,1,0,3
"Acetobacter tropicalis",14,11,17,81,13,22,10,90,0,0,0,1,15,0,0,4,0,1,0,1,0,59,1,0,3,1,1,4,6,3,1,5
"Acetobacter vaccinii",0,0,0,13,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,2,0,3
"Acetobacterium wieringae",1,0,0,0,2,17,0,1,0,3,1,0,68,4,0,0,0,0,5,0,0,0,0,0,2,15,0,0,0,10,0,16
"Acetobacterium woodii",282,428,1269,18285,2238,2265,280,21158,8,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,1,20,0,0,0,0,0,0
"Acetohalobium arabaticum",46,116,280,28,101,483,2,159,668,3,15,9,0,17,0,3,74,156,11,204,13,259,165,112,34,385,2,33,22,35,1,56
"Acetomicrobium mobile",2,0,12,0,0,0,0,0,84,14,10,6,8,6,2,0,64,53,93,582,6,0,6,0,0,0,1,8,1,0,0,0
"Acholeplasma hippikon",1,7,32,71,3,95,1,15,0,6,2,4,1,2,2,4,21,5,32,140,0,112,24,136,8,11,0,7,2,25,0,17
"Acholeplasma laidlawii",1,0,0,0,0,0,3,20,0,0,0,0,0,2,0,0,0,0,1,0,0,17,10,32,0,0,0,0,0,4,0,0
"Achromobacter aegrifaciens",0,23,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,13,0,1,0,0,0,40,0,0,0,0,0,0,0,5
"Achromobacter deleyi",0,12,0,1,0,0,0,4,0,0,0,0,0,0,0,3,9,9,0,0,0,0,17,0,0,0,2,0,3,0,0,6
"Achromobacter denitrificans",1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter insolitus",1,0,10,6,0,3,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter mucicolens",0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Achromobacter pestifer",0,12,0,0,0,1,1,0,1,3,6,0,0,0,2,1,1,17,10,85,0,0,7,35,0,0,0,9,3,12,0,20
"Achromobacter ruhlandii",1,15,0,23,0,19,0,2,6,0,0,1,217,0,1,0,11,3,0,0,0,16,4,5,3,0,4,5,11,0,4,32
"Achromobacter seleniivolatilans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Achromobacter sp.",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,0,17,16,36,0,0,0,0,0,0,0,2
"Achromobacter sp. 77",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Achromobacter sp. AONIH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter sp. B7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Achromobacter sp. E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter sp. ES-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Achromobacter sp. LM16",0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter sp. MFA1 R4",0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,6,0,0,1,0,0,13,0,0,0,0,0,0,0,0
"Achromobacter spanius",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Achromobacter veterisilvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter xylosoxidans",2,1,1,0,0,0,0,0,5,0,2,1,0,0,0,1,0,0,1,1,4,8,5,0,2,0,2,3,1,0,0,0
"Acidaminococcus fermentans",25,5,15,3,4,7,3,2,0,2,3,2,0,2,4,1,2,3,0,13,2,13,35,14,5,14,5,7,1,2,1,7
"Acidaminococcus intestini",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Acidianus sp. HS-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidibrevibacterium fodinaquatile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
"Acididesulfobacillus acetoxydans",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Acidiferrobacter sp. SPIII_3",0,16,0,0,0,0,1,1,0,0,1,0,2,0,0,1,1,2,3,1,1,0,0,0,0,5,0,1,1,3,0,0
"Acidiferrobacter thiooxydans",2,8,5,15,3,124,3,7,0,3,1,5,0,1,0,3,5,3,8,57,0,57,21,14,0,11,3,9,3,22,0,13
"Acidihalobacter aeolianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidihalobacter ferrooxydans",0,0,4,0,1,1,1,5,1,0,2,3,1,0,0,0,5,1,0,1,0,0,2,0,2,0,1,1,0,6,0,2
"Acidihalobacter yilgarnensis",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidilutibacter cellobiosedens",0,0,0,0,0,0,0,5,5,3,0,0,4,0,2,2,3,7,1,0,0,0,0,22,0,0,0,0,1,8,0,4
"Acidimicrobium ferrooxidans",5,0,2,0,1,2,4,6,0,1,8,1,8,1,2,4,10,21,9,28,19,7,2,7,7,5,9,10,11,13,1,5
"Acidiphilium acidophilum",1,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,1,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0
