KO	Name	C001_FD2_TZO.quant	C001_FD3_TZO.quant	C001_L-3_TZO.quant	C001_L-44_TZO.quant	C001_L-92_TZO.quant	C001_R+1_TZO.quant	C001_R+45_TZO.quant	C001_R+82_TZO.quant	C002_FD2_TZO.quant	C002_FD3_TZO.quant	C002_L-3_TZO.quant	C002_L-44_TZO.quant	C002_L-92_TZO.quant	C002_R+1_TZO.quant	C002_R+45_TZO.quant	C002_R+82_TZO.quant	C003_FD2_TZO.quant	C003_FD3_TZO.quant	C003_L-3_TZO.quant	C003_L-44_TZO.quant	C003_L-92_TZO.quant	C003_R+45_TZO.quant	C003_R+82_TZO.quant	C004_FD2_TZO.quant	C004_FD3_TZO.quant	C004_L-3_TZO.quant	C004_L-44_TZO.quant	C004_L-92_TZO.quant	C004_R+1_TZO.quant	C004_R+45_TZO.quant	C004_R+82_TZO.quant
K00001	k141_22348_1k141_5938_1k141_23932_1k141_20944_1k141_19688_1k141_6280_1k141_17146_1k141_24548_1k141_13611_1k141_27231_1k141_3426_1k141_30421_1k141_33211_1k141_4719_1k141_8718_1k141_37021_1k141_2740_1k141_2317_1k141_5375_1k141_4001_1k141_46518_1k141_22061_1k141_52770_1k141_27115_1k141_52820_1k141_22867_1k141_7139_1k141_16043_1k141_805_1k141_38740_1k141_25070_1k141_5877_1k141_13555_1k141_1821_1k141_22183_1k141_1261_2k141_10490_1k141_12184_1k141_46552_1k141_40821_1k141_22576_2k141_7177_2k141_48701_1k141_43754_1k141_26718_2k141_24618_2k141_1000_2k141_45425_1k141_51998_1	128.50400000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00002	k141_17146_1k141_12611_1k141_2740_1k141_16224_1k141_17450_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	k141_8414_1k141_13221_1k141_19455_1k141_12324_1k141_18256_1k141_19557_1k141_46716_1k141_13762_1k141_26586_1k141_1646_1k141_18374_1k141_45900_1k141_36608_1k141_14788_1k141_34675_1k141_4195_1k141_30684_1k141_6423_1k141_37196_1k141_22131_1k141_47396_1k141_44030_1k141_53241_1k141_44916_1k141_19628_3k141_35089_1k141_46899_1k141_186_2k141_7393_1k141_61516_1k141_14330_2k141_31915_2k141_64622_1k141_39278_1	5.0	0.0	28.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0
K00004	k141_11906_1k141_28908_1k141_25644_1k141_4270_2k141_44416_1k141_38067_2k141_55171_1k141_41902_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
K00005	k141_23932_1k141_58313_1k141_25484_1k141_29276_1k141_5760_4	489.0	29.0	309.0	405.0	346.0	0.0	63.0	200.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	18.0	0.0	0.0	21.0	14.0	76.0	117.0	61.0	187.0	41.0	131.0	19.0	161.0	33.0
K00006	k141_17885_1k141_30821_1k141_15394_1k141_9316_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	k141_38556_1k141_27797_1k141_54666_1k141_15873_1k141_691_1k141_5685_1k141_8739_1k141_18313_1k141_46518_1k141_34361_1k141_48063_1k141_24130_2k141_26729_1k141_53494_1k141_4553_1k141_29908_1k141_42561_1k141_44817_1k141_59131_1k141_1851_4k141_28068_2k141_37618_1k141_38335_1	11.0	28.0	95.577	86.871	56.0	20.46	19.0	20.0	61.0	1.076	0.0	43.088	0.0	21.0	1.0	27.0	78.0	68.868	82.0	62.274	107.398	64.0	67.0	206.0	12.0	33.207	0.0	0.0	13.973	15.81	40.0
K00009	k141_7825_1k141_45307_1k141_24977_1k141_19677_1k141_6268_1k141_48365_1k141_54255_1k141_33685_1k141_1977_2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00010	k141_45514_1k141_20769_1k141_41433_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00012	k141_17729_1k141_15897_2k141_33037_1k141_4791_1k141_11374_1k141_29063_1k141_39566_1k141_18119_1k141_11598_1k141_10482_3k141_6695_1k141_12132_1k141_45866_1k141_29550_1k141_29349_1k141_10206_1k141_35875_1k141_55749_1k141_37486_1k141_26973_1k141_48556_1k141_30349_1k141_48412_1k141_25790_2k141_51406_1k141_30785_1k141_38320_1k141_48515_1	5.0	17.0	136.958	27.347	13.0	20.0	20.0	64.0	0.0	0.0	0.0	12.0	22.0	28.0	0.0	11.417	34.0	24.26	176.0	18.0	8.18	34.209	35.224	360.0	29.0	0.0	27.253	45.0	15.0	12.0	30.03
