"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"unclassified"	"U"	0	4323100	365461	4323094	509363	1337391	470569	1115239	192354	1719204	329302	259564	352603	160114	240962	134872	112625	181588	132804	218894	622277	518009	543090	1841196	256081	2309540	736974	675620	1711593	845600	539071	959734	262181	534862	126735	"unclassified"
"root"	"-"	1	44679000	27976572	14049347	28289258	29657065	30249194	19247629	28991679	21158016	44679069	29468909	12932108	11790875	29287719	17988292	33286825	26238207	10046555	21639464	28319364	32243160	27951659	19879925	28636459	26941053	31963651	30100552	25736282	32744543	39243829	24620000	27334351	24649505	36714247	"root"
"cellular organisms"	"-"	131567	44624000	27866654	12858612	28192987	29476001	30180654	19106767	28957410	20979468	44624247	29358731	12793644	11767162	29254100	17973430	33269966	26203157	10027327	21564797	28224910	32141700	27885586	19611554	28603604	26637751	31869622	29777220	25510374	32679710	39138357	24493316	27297115	24590474	36697523	"root"
"Bacteria"	"D"	2	44617000	27833544	11739181	28180996	29427725	30147734	19049509	28951101	20893049	44617426	29339952	12776796	11761698	29245045	17963237	33219857	26197859	10022041	21556856	28208945	32135825	27867283	19546089	28599539	26540628	31844785	29705707	25475163	32660575	39130026	24472364	27266192	24557696	36691128	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	40244000	23609562	5795464	21845916	23352641	25730809	12598366	25486246	13139327	40244382	25076699	10597073	10494470	22594680	15291166	27152762	21317808	8140144	17365087	20751023	19910903	22269925	13120491	19412555	11247732	22926451	22055871	17884427	25561782	34211791	15844211	20532200	17439817	33461726	"cellular&nbsp;organisms>Bacteria"
"Bacillota"	"P"	1239	38968000	22705962	787063	16567757	21905263	17169505	6409309	21633245	11094562	38967731	8627910	9004857	6698006	20527900	14544029	22042434	11685100	6897433	16079649	19562904	18638921	20273953	10854981	18564222	9757253	15439172	17772404	16743663	23760229	32857879	13373945	11296057	6507674	29889461	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	38344000	22466377	674266	14436186	21517519	14625139	3720451	20338116	9118889	38344449	6632765	8855025	6597953	19817351	14343555	21847784	11292639	6571097	15619184	19362526	18411785	19998492	10292504	18384888	9335031	14225033	16588344	16430472	23527077	32416121	12104208	10924873	6002187	29151559	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota"
"Lactobacillales"	"O"	186826	35142000	19631709	309444	11239946	17739852	13411570	3288035	18805194	8370634	35141525	6177413	6845674	5560417	16629853	8706419	20386072	8237133	4350960	11532482	14999210	13304841	16667934	9048870	16708952	7847853	12605618	15173507	14037084	20060083	26392996	9738813	9188426	5377722	26676231	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli"
"Streptococcaceae"	"F"	1300	32606000	18145176	157496	9999959	16395641	12155609	2979703	17249556	7664262	32605552	5654387	6202887	5063218	14152901	7904832	18503885	7347722	3915457	10821575	13838126	12324034	15507967	7891696	15131440	6884542	11063170	13949516	12985372	18393831	23769732	8772434	8278829	4954357	24111258	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1301	32294000	18046607	145756	9896023	16249091	11994048	2945663	17081580	7581308	32294412	5609638	6145776	5017001	14015205	7835574	18326712	7277510	3882857	10747851	13727199	12216227	15374113	7793260	14989342	6821391	11005750	13840065	12874308	18217281	23510731	8704120	8205132	4915738	23906858	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"unclassified Streptococcus"	"-"	2608887	1647400	189354	5082	268011	191494	167121	92393	164123	171561	855136	119560	52472	74206	161256	31630	181913	138454	47636	167612	1439236	968873	1647402	105579	741747	505515	650033	894492	311705	238725	681549	298047	214711	47546	157224	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sp. 116-D4"	"S"	2598453	1553000	111841	1882	95903	89248	54430	18692	39703	41055	679472	59573	4716	7146	6716	3482	152445	5662	5855	23363	1351115	871155	1552954	32838	622178	193481	458434	723926	161881	145514	379996	95338	63950	27158	93551	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006"	"S"	3077584	116770	22501	245	24097	27353	9513	20293	35725	27804	56890	13183	3973	3615	11634	7844	4813	12690	5657	48348	34800	36015	38444	5291	33705	18155	40241	42606	46279	24964	116768	39461	15145	3783	9985	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. SP4011"	"S"	2993430	27929	15164	1	13494	24500	3473	474	14247	3809	27929	2629	3378	4702	2304	3358	9548	2893	1517	9901	10762	12153	7794	1769	9704	1544	7087	4293	17056	9087	24515	9985	6120	2407	8559	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
