"name"	"taxRank"	"taxID"	"Max"	"C001_FD2.cladeReads"	"C001_FD3.cladeReads"	"C001_L.3.cladeReads"	"C001_L.44.cladeReads"	"C001_L.92.cladeReads"	"C001_R.1.cladeReads"	"C001_R.45.cladeReads"	"C001_R.82.cladeReads"	"C002_FD2.cladeReads"	"C002_FD3.cladeReads"	"C002_L.3.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2.cladeReads"	"C003_FD3.cladeReads"	"C003_L.3.cladeReads"	"C003_L.44.cladeReads"	"C003_L.92.cladeReads"	"C003_R.45.cladeReads"	"C003_R.82.cladeReads"	"C004_FD2.cladeReads"	"C004_FD3.cladeReads"	"C004_L.3.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82.cladeReads"	"lineage"
"unclassified"	"U"	0	9128500	692822	2508980	1852291	1113944	957803	2593117	1458223	1487715	2910111	4472581	1920006	720723	1921787	1558200	1484721	668424	1247490	205270	9128504	3665906	1019391	384739	822472	8261777	4215727	4295876	2592153	4218898	2653179	1963918	887077	"unclassified"
"root"	"-"	1	41017000	26897600	28699636	31989324	29083229	32373391	26292417	27227500	41016929	25737003	22073157	29391524	25481432	26744233	29557094	29759819	29898878	32674848	33085833	20852262	22906706	36177902	32219906	37104984	19722987	25553164	22264860	24737024	18326196	25893154	30710747	30796960	"root"
"cellular organisms"	"-"	131567	40887000	26815446	28380200	31656719	28936405	32229785	26078602	27089322	40887148	25091934	21299959	29129442	25336536	26495323	29283541	29582285	29721443	32531933	33060656	18055800	22406883	36063738	32172796	36934387	18197034	24906741	21700614	24252713	17626915	25491491	30565873	30636719	"root"
"Bacteria"	"D"	2	40838000	26802238	28312821	31618999	28906173	32195469	26038843	27077798	40838076	24968307	21083267	29061723	25293074	26383176	29230077	29514297	29673004	32490218	33052728	17772051	22235327	36028606	32164236	36904080	17936225	24860234	21623934	24193598	17522166	25456221	30555872	30618644	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	38713000	23937732	24993853	28838933	27315370	30730506	24696660	25194551	38713135	20130083	16945662	27971420	17377443	15174557	11106460	26439825	20626816	31908733	32743802	2386870	21101222	35425654	31856869	35897618	13044675	21988145	19653561	22127071	14936275	24094891	28622873	29911104	"cellular&nbsp;organisms>Bacteria"
"Actinomycetota"	"P"	201174	34881000	18810373	20998364	25333276	24193960	27607530	22582771	20231332	34881216	19506432	15890704	27111795	14268673	14404589	3705709	26054480	19833267	30893593	32087113	1455545	20248973	34602129	31156464	33914890	10456193	17626996	15953673	19280078	12146294	22099853	23549158	27750020	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Actinomycetes"	"C"	1760	34858000	18787931	20970553	25300294	24170605	27583229	22564141	20209382	34858318	19482613	15864312	26944122	14209187	14386272	3610840	26034854	19803168	30871182	32053755	1441450	20229822	34577880	31125512	33872323	10429439	17606382	15931696	19244252	12120166	22072464	23526875	27708922	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota"
"Propionibacteriales"	"O"	85009	32990000	12938679	16694955	20943829	18827085	24994687	18538325	15866715	25442607	17972774	14352713	61450	9947180	12856596	2561472	24226705	16991532	28926463	30566250	335896	18831837	32990060	29697594	31970314	8092676	15068292	12905323	16083666	9687814	20032454	21434479	25429258	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes"
"Propionibacteriaceae"	"F"	31957	32928000	12894144	16630851	20877883	18781931	24935095	18492484	15828372	25405536	17904415	14279655	40801	9912733	12821621	2546813	24179064	16957578	28847464	30496402	264168	18742300	32927532	29644070	31892232	7971815	14994352	12838592	16012331	9617968	19932098	21379492	25355990	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales"
"Cutibacterium"	"G"	1912216	30394000	11654914	15146538	18877289	16785044	22722249	16866671	14641497	23573742	16896219	13551561	35810	9126933	12265796	2378443	23163759	16224941	25909753	28225494	245082	17070890	30393523	27650083	29584326	7065448	13682592	11751763	14357570	8596974	18229835	19820776	23275994	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae"
