"","species","genus","family","order","class","phylum","superkingdom","no rank"
"1","Azorhizobium caulinodans","Azorhizobium","Xanthobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2","Buchnera aphidicola","Buchnera","Erwiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"3","Cellulomonas gilvus","Cellulomonas","Cellulomonadaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"4","Dictyoglomus thermophilum","Dictyoglomus","Dictyoglomaceae","Dictyoglomales","Dictyoglomia","Dictyoglomota","Bacteria","cellular organisms"
"5","Methylophilus methylotrophus","Methylophilus","Methylophilaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"6","Syntrophotalea carbinolica","Syntrophotalea","Syntrophotaleaceae","Desulfuromonadales","Desulfuromonadia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"7","Shewanella putrefaciens","Shewanella","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"8","Myxococcus xanthus","Myxococcus","Myxococcaceae","Myxococcales","Myxococcia","Myxococcota","Bacteria","cellular organisms"
"9","Corallococcus macrosporus","Corallococcus","Myxococcaceae","Myxococcales","Myxococcia","Myxococcota","Bacteria","cellular organisms"
"10","Stigmatella aurantiaca","Stigmatella","Archangiaceae","Myxococcales","Myxococcia","Myxococcota","Bacteria","cellular organisms"
"11","Cystobacter fuscus","Cystobacter","Archangiaceae","Myxococcales","Myxococcia","Myxococcota","Bacteria","cellular organisms"
"12","Archangium gephyra","Archangium","Archangiaceae","Myxococcales","Myxococcia","Myxococcota","Bacteria","cellular organisms"
"13","Chondromyces crocatus","Chondromyces","Polyangiaceae","Polyangiales","0","Myxococcota","Bacteria","cellular organisms"
"14","Sorangium cellulosum","Sorangium","Polyangiaceae","Polyangiales","0","Myxococcota","Bacteria","cellular organisms"
